"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"07/21/2023","68","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AirNow",".","31","49","68","."
"07/22/2023","61","PM2.5","KENDALL","12-086-0034","AirNow",".","28","38","61","."
"07/23/2023","74","PM2.5","KENDALL","12-086-0034","AirNow",".","26","46","74","."
"07/24/2023","83","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AirNow",".","35","56","83","."
"07/25/2023","80","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AirNow",".","36","56","80","."
"07/26/2023","60","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AirNow",".","33","37","60","."
"07/27/2023","35","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AirNow",".","30","19","35","."
"07/28/2023","43","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AirNow",".","27","26","43","."
"07/29/2023","39","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AirNow",".","28","19","39","."
"07/30/2023","32","Ozone","Vista View Park","12-011-0033","AirNow",".","32","13","31","."
"07/31/2023","37","Ozone","Vista View Park","12-011-0033","AirNow",".","37","14","33","."
"08/01/2023","33","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AirNow",".","31","19","33","."
"08/02/2023","44","Ozone","Daniela Banu NCORE","12-011-0034","AirNow",".","44","18","35","."
"08/03/2023","38","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AirNow",".","34","18","38","."
"08/04/2023","36","PM2.5","HOMESTEAD FIRE STATION","12-086-6001","AirNow",".","32","18","36","."
"08/05/2023","41","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AirNow",".","36","14","41","."
"08/06/2023","41","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AirNow",".","25","14","41","."
"08/07/2023","55","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AirNow",".","33","35","55","."
"08/08/2023","58","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AirNow",".","29","38","58","."
"08/09/2023","61","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AirNow",".","29","43","61","."
"08/10/2023","58","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AirNow",".","31","34","58","."
"08/11/2023","54","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AirNow",".","37","29","54","."
"08/12/2023","29","Ozone","Rosenstiel","12-086-0027","AirNow",".","29","16","27","."
"08/13/2023","40","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AirNow",".","29","22","40","."
"08/14/2023","60","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AirNow",".","22","39","60","."
"08/15/2023","40","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AirNow",".","31","24","40","."
"08/16/2023","34","Ozone","Lamstein Lane","12-099-0022","AirNow",".","34","15","29","."
"08/17/2023","55","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AirNow",".","33","18","55","."
"08/18/2023","54","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AirNow",".","28","32","54","."
"08/19/2023","43","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AirNow",".","37","22","43","."
"08/20/2023","64","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AirNow",".","29","38","64","."
"08/21/2023","47","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AirNow",".","22","29","47","."
"08/22/2023","72","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AirNow",".","20","55","72","."
"08/23/2023","60","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AirNow",".","41","38","60","."
"08/24/2023","60","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AirNow",".","40","24","60","."
"08/25/2023","55","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AirNow",".","39","25","55","."
"08/26/2023","37","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AirNow",".","35","17","37","."
"08/27/2023","33","Ozone","Rosenstiel","12-086-0027","AirNow",".","33","10","32","."
"08/28/2023","35","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AirNow",".","30","14","35","."
"08/29/2023","34","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AirNow",".","28","17","34","."
"08/30/2023","54","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AirNow",".","24","19","54","."
"08/31/2023","54","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AirNow",".","26","18","54","."
"09/01/2023","48","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AirNow",".","36","21","48","."
"09/02/2023","39","Ozone","Rosenstiel","12-086-0027","AirNow",".","39","17","33","."
"09/03/2023","39","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AirNow",".","38","22","39","."
"09/04/2023","39","Ozone","Rosenstiel","12-086-0027","AirNow",".","39","19","30","."
"09/05/2023","38","Ozone","Rosenstiel","12-086-0027","AirNow",".","38","22","35","."
"09/06/2023","53","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AirNow",".","43","27","53","."
"09/07/2023","52","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AirNow",".","45","29","52","."
"09/08/2023","48","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AirNow",".","39","21","48","."
"09/09/2023","42","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AirNow",".","30","16","42","."
"09/10/2023","44","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AirNow",".","34","12","44","."
"09/11/2023","54","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AirNow",".","28","21","54","."
"09/12/2023","36","PM2.5","KENDALL","12-086-0034","AirNow",".","25","20","36","."
"09/13/2023","35","PM2.5","KENDALL","12-086-0034","AirNow",".","29","19","35","."
"09/14/2023","34","Ozone","Daniela Banu NCORE","12-011-0034","AirNow",".","34","20","33","."
"09/15/2023","39","Ozone","Vista View Park","12-011-0033","AirNow",".","39","15","30","."
"09/16/2023","35","Ozone","Pompano Highlands","12-011-2003","AirNow",".","35","13","34","."
"09/17/2023","31","Ozone","Pompano Highlands","12-011-2003","AirNow",".","31","10","30","."
"09/18/2023","54","Ozone","Rosenstiel","12-086-0027","AirNow",".","54","15","35","."
"09/19/2023","38","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AirNow",".","33","19","38","."
"09/20/2023","40","Ozone","Lamstein Lane","12-099-0022","AirNow",".","40","17","25","."
"09/21/2023","40","Ozone","Lamstein Lane","12-099-0022","AirNow",".","40","15","23","."
"09/22/2023","44","Ozone","Perdue","12-086-0029","AirNow",".","44","15","25","."
"09/23/2023","44","Ozone","Lamstein Lane","12-099-0022","AirNow",".","44","17","37","."
"09/24/2023","34","Ozone","Vista View Park","12-011-0033","AirNow",".","34","9","24","."
