"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"03/04/2022","42","Ozone","Perdue","12-086-0029","AQS","6","42","38","26","39"
"03/05/2022","39","Ozone","Rosenstiel","12-086-0027","AQS","5","39","23","34","13"
"03/06/2022","48","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","5","35","28","48","12"
"03/07/2022","55","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","6","33","42","55","18"
"03/08/2022","50","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","26","32","50","25"
"03/09/2022","56","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","31","26","56","33"
"03/10/2022","51","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","26","21","51","25"
"03/11/2022","47","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","8","28","23","47","27"
"03/12/2022","53","PM2.5","Lamstein Lane","12-099-0022","AQS","7","37","23","53","22"
"03/13/2022","47","Ozone","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS","5","47","17","29","16"
"03/14/2022","46","Ozone","Pompano Highlands","12-011-2003","AQS","5","46","24","37","38"
"03/15/2022","40","Ozone","Pompano Highlands","12-011-2003","AQS","7","40","15","26","23"
"03/16/2022","38","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","31","19","38","28"
"03/17/2022","40","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","8","29","21","40","25"
"03/18/2022","47","PM10","Miami Fire Station","12-086-1016","AQS","11","30","47","45","31"
"03/19/2022","37","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","31","22","37","25"
"03/20/2022","45","PM2.5","Lamstein Lane","12-099-0022","AQS","7","45","19","45","23"
"03/21/2022","49","Ozone","Lantana Preserve","12-099-0021","AQS","5","49","24","30","23"
"03/22/2022","48","Ozone","Pompano Highlands","12-011-2003","AQS","6","48","29","40","35"
"03/23/2022","40","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","6","31","28","40","27"
"03/24/2022","45","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","6","31","22","45","23"
"03/25/2022","67","Ozone","Rosenstiel","12-086-0027","AQS","7","67","18","52","47"
"03/26/2022","112","Ozone","Rosenstiel","12-086-0027","AQS","8","112","21","43","42"
"03/27/2022","74","Ozone","Rosenstiel","12-086-0027","AQS","8","74","19","56","34"
"03/28/2022","100","Ozone","Daniela Banu NCORE","12-011-0034","AQS","7","100","28","53","45"
"03/29/2022","93","Ozone","Rosenstiel","12-086-0027","AQS","6","93","27","61","41"
"03/30/2022","77","Ozone","Lantana Preserve","12-099-0021","AQS","6","77","51","57","38"
"03/31/2022","56","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","6","44","33","56","28"
"04/01/2022","55","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","9","32","28","55","26"
"04/02/2022","55","PM2.5","Belle Glade","12-099-0008","AQS","9","33","20","55","16"
"04/03/2022","45","Ozone","Rosenstiel","12-086-0027","AQS","5","45","14","43","29"
"04/04/2022","41","Ozone","Lantana Preserve","12-099-0021","AQS","6","41","16","38","35"
"04/05/2022","38","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","6","29","31","38","35"
"04/06/2022","54","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","8","32","24","54","25"
"04/07/2022","50","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","33","21","50","25"
"04/08/2022","60","PM2.5","Lamstein Lane","12-099-0022","AQS","2","51","37","60","26"
"04/09/2022","51","Ozone","Lantana Preserve","12-099-0021","AQS","2","51","33","40","44"
"04/10/2022","48","Ozone","Daniela Banu NCORE","12-011-0034","AQS","5","48","25","32","19"
"04/11/2022","49","Ozone","Rosenstiel","12-086-0027","AQS","6","49","19","28","42"
"04/12/2022","46","Ozone","Rosenstiel","12-086-0027","AQS","6","46","25","35","33"
"04/13/2022","50","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","6","38","38","50","23"
"04/14/2022","59","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","6","31","43","59","29"
"04/15/2022","34","Ozone","Lantana Preserve","12-099-0021","AQS","6","34","19","33","25"
"04/16/2022","34","Ozone","Rosenstiel","12-086-0027","AQS","6","34","16","29","22"
"04/17/2022","34","Ozone","Lantana Preserve","12-099-0021","AQS","6","34","13","25","14"
"04/18/2022","38","Ozone","Daniela Banu NCORE","12-011-0034","AQS","6","38","33","35","35"
"04/19/2022","46","Ozone","Daniela Banu NCORE","12-011-0034","AQS","6","46","30","41","24"
"04/20/2022","50","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","5","47","26","50","24"
"04/21/2022","53","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","5","46","29","53","20"
"04/22/2022","52","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","5","43","28","52","16"
"04/23/2022","45","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","5","42","23","45","13"
"04/24/2022","39","Ozone","Rosenstiel","12-086-0027","AQS","5","39","17","31","11"
"04/25/2022","48","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","5","36","24","48","30"
"04/26/2022","49","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","6","42","22","49","33"
"04/27/2022","56","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","47","25","56","41"
"04/28/2022","57","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","48","22","57","42"
"04/29/2022","43","Ozone","Pompano Highlands","12-011-2003","AQS","7","43","19","39","37"
"04/30/2022","42","Ozone","Pompano Highlands","12-011-2003","AQS","6","42","15","33","25"
"05/01/2022","42","Ozone","Daniela Banu NCORE","12-011-0034","AQS","6","42","17","35","25"
"05/02/2022","41","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","6","38","24","41","27"
"05/03/2022","43","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","31","23","43","21"
"05/04/2022","41","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","40","18","41","26"
"05/05/2022","93","Ozone","Daniela Banu NCORE","12-011-0034","AQS","7","93","25","62","40"
"05/06/2022","78","PM2.5","Coconut Creek","12-011-5005","AQS","7","40","38","78","30"
"05/07/2022","53","PM2.5","DELRAY BEACH","12-099-2005","AQS","2","28","23","53","18"
"05/08/2022","41","Ozone","Lantana Preserve","12-099-0021","AQS","7","41","17","40","27"
"05/09/2022","45","Ozone","Rosenstiel","12-086-0027","AQS","7","45","21","39","28"
"05/10/2022","51","Ozone","Vista View Park","12-011-0033","AQS","5","51","23","36","26"
"05/11/2022","47","Ozone","Daniela Banu NCORE","12-011-0034","AQS","5","47","22","39","25"
"05/12/2022","48","Ozone","Perdue","12-086-0029","AQS","6","48","15","27","42"
"05/13/2022","49","Ozone","Daniela Banu NCORE","12-011-0034","AQS","7","49","13","33","38"
"05/14/2022","34","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","34","15","34","27"
"05/15/2022","36","Ozone","Vista View Park","12-011-0033","AirNow","8","36","11","32","20"
"05/16/2022","46","Ozone","Pompano Highlands","12-011-2003","AQS","6","46","16","33","34"
"05/17/2022","51","Ozone","Lantana Preserve","12-099-0021","AQS","7","51","15","33","29"
"05/18/2022","50","Ozone","Vista View Park","12-011-0033","AirNow","6","50","16","34","31"
"05/19/2022","34","Ozone","Vista View Park","12-011-0033","AirNow","6","34","13","29","25"
"05/20/2022","44","PM2.5","KENDALL","12-086-0034","AQS","6","24","22","44","22"
"05/21/2022","87","PM2.5","KENDALL","12-086-0034","AQS","6","22","58","87","15"
"05/22/2022","60","PM2.5","KENDALL","12-086-0034","AQS","6","19","42","60","8"
"05/23/2022","35","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","6","23","19","35","13"
"05/24/2022","38","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","5","31","19","38","21"
"05/25/2022","52","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","5","34","21","52","20"
"05/26/2022","51","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","6","32","21","51","26"
"05/27/2022","47","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","31","20","47","25"
"05/28/2022","37","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","36","15","37","22"
"05/29/2022","44","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","6","31","15","44","25"
"05/30/2022","35","Ozone","Lantana Preserve","12-099-0021","AQS","6","35","13","26","21"
"05/31/2022","33","Ozone","Daniela Banu NCORE","12-011-0034","AQS","7","33","15","26","25"
"06/01/2022","44","Ozone","Rosenstiel","12-086-0027","AQS","6","44","16","28","30"
"06/02/2022","37","NO2","Perimeter Road","12-086-0035","AQS","8","35","14","28","37"
"06/03/2022","38","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","25","14","38","25"
"06/04/2022","23","PM2.5","Miami Fire Station","12-086-1016","AQS","3","22","11","23","15"
"06/05/2022","37","Ozone","Pompano Highlands","12-011-2003","AQS","7","37","14","24","19"
"06/06/2022","35","Ozone","Daniela Banu NCORE","12-011-0034","AQS","7","35","12","29","25"
"06/07/2022","30","NO2","PENNSUCO","12-086-0019","AQS","6","26","12","23","30"
"06/08/2022","35","Ozone","Daniela Banu NCORE","12-011-0034","AQS","6","35","19","30","32"
"06/09/2022","37","PM2.5","KENDALL","12-086-0034","AQS","6","24","19","37","27"
"06/10/2022","34","PM2.5","KENDALL","12-086-0034","AQS","6","29","18","34","29"
"06/11/2022","47","PM2.5","KENDALL","12-086-0034","AQS","8","31","23","47","34"
"06/12/2022","55","PM2.5","KENDALL","12-086-0034","AQS","11","28","30","55","24"
"06/13/2022","62","PM2.5","Belle Glade","12-099-0008","AQS","7","24","37","62","24"
"06/14/2022","88","PM2.5","Miami Fire Station","12-086-1016","AQS","7","26","78","88","19"
"06/15/2022","89","PM2.5","DELRAY BEACH","12-099-2005","AQS","6","24","75","89","21"
"06/16/2022","48","PM2.5","Belle Glade","12-099-0008","AQS","7","28","30","48","23"
"06/17/2022","48","PM2.5","Belle Glade","12-099-0008","AQS","7","39","23","48","31"
"06/18/2022","49","Ozone","Daniela Banu NCORE","12-011-0034","AQS","7","49","17","39","25"
"06/19/2022","49","Ozone","Pompano Highlands","12-011-2003","AQS","7","49","13","33","47"
"06/20/2022","43","PM2.5","HOMESTEAD FIRE STATION","12-086-6001","AQS","7","39","17","43","25"
"06/21/2022","45","Ozone","Daniela Banu NCORE","12-011-0034","AQS","6","45","21","33","29"
"06/22/2022","51","NO2","Near Road - Fort Lauderdale","12-011-0035","AQS","6","43","13","25","51"
"06/23/2022","64","Ozone","Daniela Banu NCORE","12-011-0034","AQS","7","64","16","30","32"
"06/24/2022","48","Ozone","Lamstein Lane","12-099-0022","AQS","7","48","19","35","30"
"06/25/2022","49","Ozone","Lantana Preserve","12-099-0021","AQS","6","49","18","43","35"
"06/26/2022","37","Ozone","Vista View Park","12-011-0033","AQS","7","37","14","34","23"
"06/27/2022","33","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","33","16","33","25"
"06/28/2022","38","Ozone","Rosenstiel","12-086-0027","AQS","6","38","16","24","28"
"06/29/2022","44","Ozone","Vista View Park","12-011-0033","AQS","7","44","14","30","31"
"06/30/2022","36","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","23","21","36","24"
"07/01/2022","30","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","25","18","30","16"
"07/02/2022","31","PM2.5","Coconut Creek","12-011-5005","AQS","6","22","21","31","17"
"07/03/2022","26","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","6","24","14","26","10"
"07/04/2022","58","PM2.5","HOMESTEAD FIRE STATION","12-086-6001","AQS","6","23","28","58","14"
"07/05/2022","29","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","6","23","18","29","14"
"07/06/2022","45","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","6","21","27","45","25"
"07/07/2022","36","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","24","18","36","25"
"07/08/2022","31","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","6","23","19","31","20"
"07/09/2022","34","PM2.5","Miami Fire Station","12-086-1016","AQS","6","31","19","34","19"
"07/10/2022","32","PM2.5","KENDALL","12-086-0034","AQS","5","31","17","32","20"
"07/11/2022","42","PM2.5","HOMESTEAD FIRE STATION","12-086-6001","AQS","5","38","15","42","27"
"07/12/2022","39","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","29","22","39","24"
"07/13/2022","41","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","29","19","41","27"
"07/14/2022","52","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","27","34","52","25"
"07/15/2022","36","Ozone","Rosenstiel","12-086-0027","AQS","7","36","21","28","27"
"07/16/2022","28","Ozone","Rosenstiel","12-086-0027","AQS","6","28","17","27","26"
"07/17/2022","45","PM2.5","KENDALL","12-086-0034","AQS","6","26","22","45","17"
"07/18/2022","62","PM2.5","KENDALL","12-086-0034","AQS","7","21","46","62","22"
"07/19/2022","59","PM2.5","Coconut Creek","12-011-5005","AQS","7","23","47","59","19"
"07/20/2022","33","PM2.5","Belle Glade","12-099-0008","AQS","6","23","20","33","18"
"07/21/2022","35","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","28","24","35","24"
"07/22/2022","44","PM2.5","KENDALL","12-086-0034","AQS","7","22","28","44","19"
"07/23/2022","52","PM2.5","HOMESTEAD FIRE STATION","12-086-6001","AQS","7","21","28","52","14"
"07/24/2022","41","PM2.5","Coconut Creek","12-011-5005","AQS","6","23","23","41","8"
"07/25/2022","35","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","5","26","22","35","16"
"07/26/2022","52","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","6","27","31","52","27"
"07/27/2022","61","PM2.5","DELRAY BEACH","12-099-2005","AQS","6","21","44","61","26"
"07/28/2022","60","PM2.5","Coconut Creek","12-011-5005","AQS","6","19","53","60","16"
"07/29/2022","32","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","6","23","19","32","13"
"07/30/2022","30","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","5","20","16","30","11"
"07/31/2022","30","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","5","21","16","30","10"
"08/01/2022","53","PM2.5","KENDALL","12-086-0034","AQS","6","17","36","53","12"
"08/02/2022","33","PM2.5","HOMESTEAD FIRE STATION","12-086-6001","AQS","6","33","24","33","15"
"08/03/2022","32","NO2","Near Road - Fort Lauderdale","12-011-0035","AQS","7","29","16","29","32"
"08/04/2022","50","PM2.5","KENDALL","12-086-0034","AQS","6","19","30","50","16"
"08/05/2022","57","PM2.5","KENDALL","12-086-0034","AQS","6","19","40","57","13"
"08/06/2022","56","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","6","21","36","56","11"
"08/07/2022","32","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","5","27","17","32","9"
"08/08/2022","35","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","5","25","20","35","22"
"08/09/2022","89","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","6","19","75","89","16"
"08/10/2022","58","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","6","19","44","58","17"
"08/11/2022","53","PM2.5","Lamstein Lane","12-099-0022","AQS","6","21","31","53","14"
"08/12/2022","34","PM2.5","Belle Glade","12-099-0008","AQS","8","29","16","34","18"
"08/13/2022","32","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","29","11","32","22"
"08/14/2022","36","Ozone","Pompano Highlands","12-011-2003","AQS","6","36","11","32","25"
"08/15/2022","44","Ozone","Pompano Highlands","12-011-2003","AQS","5","44","17","39","30"
"08/16/2022","36","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","6","29","17","36","19"
"08/17/2022","37","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","5","29","16","37","20"
"08/18/2022","38","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","6","35","18","38","26"
"08/19/2022","39","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","29","19","39","24"
"08/20/2022","32","PM2.5","HOMESTEAD FIRE STATION","12-086-6001","AQS","6","19","19","32","14"
"08/21/2022","35","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","6","20","18","35","8"
"08/22/2022","27","PM2.5","Belle Glade","12-099-0008","AQS","6","20","18","27","19"
"08/23/2022","25","NO2","PENNSUCO","12-086-0019","AQS","6","24","14","24","25"
"08/24/2022","23","PM2.5","HOMESTEAD FIRE STATION","12-086-6001","AQS","7","22","11","23","21"
"08/25/2022","28","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","19","14","28","25"
"08/26/2022","31","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","26","15","31","25"
"08/27/2022","33","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","6","26","17","33","16"
"08/28/2022","23","PM2.5","KENDALL","12-086-0034","AQS","6","23","9","23","16"
"08/29/2022","27","Ozone","Daniela Banu NCORE","12-011-0034","AQS","6","27","11","21","24"
"08/30/2022","45","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","6","20","20","45","22"
"08/31/2022","37","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","29","16","37","30"
"09/01/2022","36","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","31","17","36","25"
"09/02/2022","35","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","30","19","35","24"
"09/03/2022","28","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","19","14","28","13"
"09/04/2022","27","Ozone","Rosenstiel","12-086-0027","AQS","6","27","10","24","10"
"09/05/2022","31","Ozone","Pompano Highlands","12-011-2003","AQS","6","31","11","25","15"
"09/06/2022","31","Ozone","Vista View Park","12-011-0033","AQS","6","31","15","29","26"
"09/07/2022","40","Ozone","Daniela Banu NCORE","12-011-0034","AQS","7","40","18","31","23"
"09/08/2022","42","NO2","Perimeter Road","12-086-0035","AQS","5","35","13","33","42"
"09/09/2022","43","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","8","23","13","43","24"
"09/10/2022","33","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","9","23","11","33","21"
"09/11/2022","31","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","10","24","11","31","27"
"09/12/2022","34","NO2","Perimeter Road","12-086-0035","AQS","6","33","14","25","34"
"09/13/2022","40","PM10","Coconut Creek","12-011-5005","AQS","7","35","40","34","37"
"09/14/2022","39","NO2","Perimeter Road","12-086-0035","AQS","7","28","16","32","39"
"09/15/2022","34","NO2","Perimeter Road","12-086-0035","AQS","8","31","14","32","34"
"09/16/2022","35","NO2","Perimeter Road","12-086-0035","AQS","7","26","16","30","35"
"09/17/2022","26","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","21","14","26","20"
"09/18/2022","28","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","24","13","28","24"
"09/19/2022","44","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","8","21","21","44","27"
"09/20/2022","39","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","28","19","39","35"
"09/21/2022","31","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","6","28","15","31","19"
"09/22/2022","42","Ozone","Rosenstiel","12-086-0027","AQS","6","42","18","26","20"
"09/23/2022","84","Ozone","Perdue","12-086-0029","AQS","9","84","24","60","39"
"09/24/2022","64","Ozone","Perdue","12-086-0029","AQS","9","64","21","56","39"
"09/25/2022","39","Ozone","Vista View Park","12-011-0033","AQS","8","39","12","37","27"
"09/26/2022","28","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","28","14","28","25"
"09/27/2022","41","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","5","25","18","41","21"
"09/28/2022","44","PM2.5","Coconut Creek","12-011-5005","AQS","3","31","23","44","13"
"09/29/2022","36","PM2.5","Coconut Creek","12-011-5005","AQS","2","34","17","36","23"
"09/30/2022","80","Ozone","Perdue","12-086-0029","AQS","8","80","19","39","32"
"10/01/2022","42","Ozone","Daniela Banu NCORE","12-011-0034","AQS","7","42","16","38","25"
"10/02/2022","44","Ozone","Perdue","12-086-0029","AQS","7","44","15","41","35"
"10/03/2022","97","Ozone","Rosenstiel","12-086-0027","AQS","8","97","18","41","27"
"10/04/2022","49","Ozone","Perdue","12-086-0029","AQS","6","49","18","35","29"
"10/05/2022","42","Ozone","Perdue","12-086-0029","AQS","6","42","16","28","21"
"10/06/2022","43","Ozone","Lantana Preserve","12-099-0021","AQS","7","43","16","40","37"
"10/07/2022","45","Ozone","Vista View Park","12-011-0033","AQS","6","45","23","35","33"
"10/08/2022","31","Ozone","Pompano Highlands","12-011-2003","AQS","6","31","14","30","29"
