"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2022","136","PM2.5","HOMESTEAD FIRE STATION","12-086-6001","AQS","8","28","25","136","21"
"01/02/2022","30","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","10","25","17","30","20"
"01/03/2022","54","PM2.5","Lamstein Lane","12-099-0022","AQS","5","35","19","54","34"
"01/04/2022","42","Ozone","Rosenstiel","12-086-0027","AQS","6","42","18","30","30"
"01/05/2022","39","NO2","Perimeter Road","12-086-0035","AQS","8","35","15","35","39"
"01/06/2022","47","Ozone","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS","9","47","20","38","46"
"01/07/2022","45","PM2.5","HOMESTEAD FIRE STATION","12-086-6001","AQS","9","38","19","45","29"
"01/08/2022","40","Ozone","Lantana Preserve","12-099-0021","AQS","6","40","19","35","14"
"01/09/2022","39","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","6","39","22","39","23"
"01/10/2022","36","Ozone","Rosenstiel","12-086-0027","AQS","7","36","19","29","29"
"01/11/2022","40","Ozone","Lantana Preserve","12-099-0021","AQS","6","40","18","37","28"
"01/12/2022","41","Ozone","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS","6","41","21","31","19"
"01/13/2022","39","Ozone","Daniela Banu NCORE","12-011-0034","AQS","6","39","19","31","34"
"01/14/2022","65","NO2","Perimeter Road","12-086-0035","AQS","10","46","20","52","65"
"01/15/2022","71","Ozone","Rosenstiel","12-086-0027","AQS","17","71","22","59","61"
"01/16/2022","44","Ozone","Rosenstiel","12-086-0027","AQS","10","44","20","39","32"
"01/17/2022","41","PM2.5","Lamstein Lane","12-099-0022","AQS","3","40","21","41","32"
"01/18/2022","44","Ozone","Daniela Banu NCORE","12-011-0034","AQS","6","44","16","36","40"
"01/19/2022","56","NO2","Perimeter Road","12-086-0035","AQS","10","44","17","32","56"
"01/20/2022","41","Ozone","Rosenstiel","12-086-0027","AQS","11","41","17","36","41"
"01/21/2022","37","NO2","PENNSUCO","12-086-0019","AQS","9","31","11","30","37"
"01/22/2022","40","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","9","26","18","40","23"
"01/23/2022","56","PM2.5","Pompano Highlands","12-011-2003","AQS","2","31","17","56","19"
"01/24/2022","60","PM2.5","Miami Fire Station","12-086-1016","AQS","6","48","22","60","58"
"01/25/2022","57","NO2","Perimeter Road","12-086-0035","AQS","8","47","26","54","57"
"01/26/2022","42","Ozone","Rosenstiel","12-086-0027","AQS","6","42","16","39","40"
"01/27/2022","38","Ozone","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS","7","38","16","29","30"
"01/28/2022","37","Ozone","Daniela Banu NCORE","12-011-0034","AQS","5","37","17","33","28"
"01/29/2022","53","PM2.5","Lamstein Lane","12-099-0022","AQS","2","42","23","53","28"
"01/30/2022","44","Ozone","Vista View Park","12-011-0033","AQS","2","44","12","43","38"
"01/31/2022","48","Ozone","Rosenstiel","12-086-0027","AQS","7","48","18","30","40"
"02/01/2022","47","Ozone","Rosenstiel","12-086-0027","AQS","7","47","16","29","46"
"02/02/2022","45","Ozone","Rosenstiel","12-086-0027","AQS","6","45","21","39","31"
"02/03/2022","44","Ozone","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS","6","44","21","28","35"
"02/04/2022","40","Ozone","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS","9","40","19","36","40"
"02/05/2022","57","NO2","Perimeter Road","12-086-0035","AQS","9","40","18","35","57"
"02/06/2022","44","Ozone","Daniela Banu NCORE","12-011-0034","AQS","8","44","10","30","27"
"02/07/2022","40","Ozone","Rosenstiel","12-086-0027","AQS","10","40","16","35","30"
"02/08/2022","42","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","10","39","18","42","29"
"02/09/2022","32","NO2","Perimeter Road","12-086-0035","AQS","3","31","12","30","32"
"02/10/2022","45","Ozone","Daniela Banu NCORE","12-011-0034","AQS","8","45","18","34","40"
"02/11/2022","45","NO2","Perimeter Road","12-086-0035","AQS","8","40","20","38","45"
"02/12/2022","40","Ozone","Pompano Highlands","12-011-2003","AQS","8","40","13","30","31"
"02/13/2022","40","PM2.5","Lamstein Lane","12-099-0022","AQS","9","38","10","40","39"
"02/14/2022","54","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","3","44","25","54","24"
"02/15/2022","43","Ozone","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS","5","43","21","33","28"
"02/16/2022","41","Ozone","Pompano Highlands","12-011-2003","AQS","5","41","23","39","35"
"02/17/2022","50","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","6","34","27","50","24"
"02/18/2022","59","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","8","31","31","59","32"
"02/19/2022","54","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","44","26","54","30"
"02/20/2022","44","Ozone","Pompano Highlands","12-011-2003","AQS","6","44","22","42","13"
"02/21/2022","48","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","43","25","48","36"
"02/22/2022","49","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","38","26","49","25"
"02/23/2022","37","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","6","36","20","37","29"
"02/24/2022","34","Ozone","Rosenstiel","12-086-0027","AQS","7","34","27","32","32"
"02/25/2022","37","Ozone","Daniela Banu NCORE","12-011-0034","AQS","7","37","22","31","35"
"02/26/2022","35","Ozone","Daniela Banu NCORE","12-011-0034","AQS","7","35","15","29","25"
"02/27/2022","31","Ozone","Daniela Banu NCORE","12-011-0034","AQS","7","31","10","26","25"
"02/28/2022","61","Ozone","Lantana Preserve","12-099-0021","AQS","3","61","18","50","32"
"03/01/2022","52","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","5","42","24","52","25"
"03/02/2022","42","Ozone","Perdue","12-086-0029","AQS","7","42","19","35","32"
"03/03/2022","45","PM2.5","Lamstein Lane","12-099-0022","AQS","7","43","17","45","35"
