"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/19/2021","47","Ozone","Rosenstiel","12-086-0027","AQS","9","47","14","43","40"
"01/20/2021","45","PM2.5","Lamstein Lane","12-099-0022","AQS","8","44","12","45","35"
"01/21/2021","61","Ozone","Rosenstiel","12-086-0027","AQS","10","61","17","52","40"
"01/22/2021","54","PM2.5","Lamstein Lane","12-099-0022","AQS","9","40","15","54","51"
"01/23/2021","54","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","10","44","11","54","28"
"01/24/2021","43","PM2.5","HOMESTEAD FIRE STATION","12-086-6001","AQS","13","37","10","43","29"
"01/25/2021","38","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","9","35","12","38","31"
"01/26/2021","42","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","13","37","14","42","27"
"01/27/2021","57","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","10","29","15","57","25"
"01/28/2021","53","PM2.5","HOMESTEAD FIRE STATION","12-086-6001","AQS","5","42","23","53","23"
"01/29/2021","42","Ozone","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS","6","42","18","31","27"
"01/30/2021","45","Ozone","Rosenstiel","12-086-0027","AQS","6","45","14","31","29"
"01/31/2021","40","Ozone","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS","7","40","16","38","18"
"02/01/2021","52","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","5","38","30","52","18"
"02/02/2021","42","Ozone","Daniela Banu NCORE","12-011-0034","AQS","2","42","15","37","16"
"02/03/2021","59","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","9","43","19","59","42"
"02/04/2021","64","Ozone","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS","11","64","18","56","35"
"02/05/2021","51","PM2.5","Belle Glade","12-099-0008","AQS","11","49","17","51","39"
"02/06/2021","48","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","11","30","17","48","24"
"02/07/2021","63","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","8","21","24","63","14"
"02/08/2021","59","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","9","20","22","59","19"
"02/09/2021","43","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","9","25","16","43","24"
"02/10/2021","38","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","25","15","38","21"
"02/11/2021","34","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","8","20","18","34","19"
"02/12/2021","45","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","9","22","18","45","21"
"02/13/2021","46","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","8","24","19","46","16"
"02/14/2021","49","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","8","28","23","49","17"
"02/15/2021","56","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","8","26","29","56","24"
"02/16/2021","58","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","6","29","19","58","21"
"02/17/2021","54","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","8","26","23","54","21"
"02/18/2021","53","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","8","27","25","53","8"
"02/19/2021","54","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","22","21","54","19"
"02/20/2021","44","Ozone","Rosenstiel","12-086-0027","AQS","6","44","16","38","21"
"02/21/2021","44","Ozone","Pompano Highlands","12-011-2003","AQS","5","44","17","39","9"
"02/22/2021","41","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","8","38","17","41","25"
"02/23/2021","45","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","40","16","45","25"
"02/24/2021","40","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","9","38","16","40","25"
"02/25/2021","54","Ozone","Pompano Highlands","12-011-2003","AQS","8","54","16","52","32"
"02/26/2021","43","PM2.5","Belle Glade","12-099-0008","AQS","8","31","15","43","24"
"02/27/2021","35","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","27","18","35","19"
"02/28/2021","40","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","25","19","40","13"
"03/01/2021","50","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","28","22","50","22"
"03/02/2021","56","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","33","20","56","22"
"03/03/2021","59","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","2","29","17","59","22"
"03/04/2021","66","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","2","44","14","66","24"
"03/05/2021","55","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","8","48","12","55","25"
"03/06/2021","55","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","9","44","12","55","36"
"03/07/2021","55","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","5","47","15","55","14"
"03/08/2021","49","Ozone","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS","6","49","16","45","25"
"03/09/2021","47","Ozone","Rosenstiel","12-086-0027","AQS","5","47","19","28","24"
"03/10/2021","45","Ozone","Rosenstiel","12-086-0027","AQS","6","45","21","28","22"
"03/11/2021","44","Ozone","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS","6","44","21","33","32"
"03/12/2021","45","Ozone","Rosenstiel","12-086-0027","AQS","7","45","17","33","29"
"03/13/2021","44","Ozone","Rosenstiel","12-086-0027","AQS","8","44","14","36","25"
"03/14/2021","43","Ozone","Pompano Highlands","12-011-2003","AQS","9","43","15","40","34"
"03/15/2021","44","Ozone","Vista View Park","12-011-0033","AQS","10","44","15","38","35"
"03/16/2021","43","PM2.5","Belle Glade","12-099-0008","AQS","7","35","20","43","31"
"03/17/2021","37","PM2.5","KENDALL","12-086-0034","AQS","8","34","20","37","28"
"03/18/2021","54","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","8","37","34","54","27"
"03/19/2021","49","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","3","44","29","49","22"
"03/20/2021","51","Ozone","Rosenstiel","12-086-0027","AQS","7","51","16","37","15"
"03/21/2021","44","Ozone","Pompano Highlands","12-011-2003","AQS","5","44","13","33","16"
"03/22/2021","47","Ozone","Pompano Highlands","12-011-2003","AQS","7","47","16","29","26"
"03/23/2021","71","Ozone","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS","8","71","16","45","33"
"03/24/2021","53","PM2.5","HOMESTEAD FIRE STATION","12-086-6001","AQS","10","46","19","53","43"
"03/25/2021","53","PM2.5","Belle Glade","12-099-0008","AQS","7","27","22","53","20"
"03/26/2021","38","PM2.5","Belle Glade","12-099-0008","AQS","8","28","19","38","20"
"03/27/2021","28","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","27","17","28","16"
"03/28/2021","32","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","8","28","17","32","12"
"03/29/2021","36","PM2.5","Lamstein Lane","12-099-0022","AQS","7","31","19","36","20"
"03/30/2021","40","PM2.5","KENDALL","12-086-0034","AQS","6","30","29","40","16"
"03/31/2021","41","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","8","27","24","41","23"
"04/01/2021","45","Ozone","Pompano Highlands","12-011-2003","AQS","8","45","16","35","33"
"04/02/2021","50","Ozone","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS","5","50","31","37","20"
"04/03/2021","48","Ozone","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS","6","48","18","33","13"
"04/04/2021","47","Ozone","Pompano Highlands","12-011-2003","AQS","7","47","18","32","12"
"04/05/2021","49","Ozone","Lantana Preserve","12-099-0021","AQS","8","49","20","41","42"
"04/06/2021","48","Ozone","Rosenstiel","12-086-0027","AQS","7","48","19","43","40"
"04/07/2021","54","Ozone","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS","8","54","19","41","49"
"04/08/2021","51","Ozone","Vista View Park","12-011-0033","AQS","8","51","18","46","38"
"04/09/2021","43","Ozone","Rosenstiel","12-086-0027","AQS","7","43","17","38","34"
"04/10/2021","43","PM2.5","HOMESTEAD FIRE STATION","12-086-6001","AQS","10","37","19","43","22"
"04/11/2021","44","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","39","19","44","28"
"04/12/2021","45","Ozone","Rosenstiel","12-086-0027","AQS","6","45","13","35","25"
"04/13/2021","84","Ozone","Vista View Park","12-011-0033","AQS","8","84","21","52","38"
"04/14/2021","51","Ozone","Rosenstiel","12-086-0027","AQS","7","51","22","43","15"
"04/15/2021","64","Ozone","Lamstein Lane","12-099-0022","AQS","8","64","24","40","45"
"04/16/2021","59","PM2.5","KENDALL","12-086-0034","AQS","9","54","23","59","38"
"04/17/2021","62","PM2.5","Belle Glade","12-099-0008","AQS","6","47","23","62","27"
"04/18/2021","56","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","9","34","23","56","22"
"04/19/2021","70","PM2.5","KENDALL","12-086-0034","AQS","6","25","31","70","21"
"04/20/2021","62","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","6","27","32","62","24"
"04/21/2021","56","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","5","34","20","56","20"
"04/22/2021","58","Ozone","Vista View Park","12-011-0033","AQS","7","58","26","54","32"
"04/23/2021","52","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","6","49","25","52","27"
"04/24/2021","52","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","9","41","25","52","16"
"04/25/2021","53","PM2.5","KENDALL","12-086-0034","AQS","9","27","25","53","11"
"04/26/2021","44","Ozone","Vista View Park","12-011-0033","AQS","6","44","22","42","23"
"04/27/2021","45","Ozone","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS","6","45","18","37","23"
"04/28/2021","46","Ozone","Rosenstiel","12-086-0027","AQS","7","46","19","37","36"
"04/29/2021","36","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","8","31","19","36","24"
"04/30/2021","40","Ozone","Daniela Banu NCORE","12-011-0034","AQS","7","40","18","39","26"
"05/01/2021","53","PM2.5","Lamstein Lane","12-099-0022","AQS","8","51","19","53","18"
"05/02/2021","54","PM2.5","HOMESTEAD FIRE STATION","12-086-6001","AQS","13","33","14","54","14"
"05/03/2021","76","PM2.5","HOMESTEAD FIRE STATION","12-086-6001","AQS","7","33","20","76","25"
"05/04/2021","60","PM2.5","HOMESTEAD FIRE STATION","12-086-6001","AQS","10","31","19","60","23"
"05/05/2021","41","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","10","34","19","41","22"
"05/06/2021","44","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","42","18","44","28"
"05/07/2021","51","Ozone","Lantana Preserve","12-099-0021","AQS","8","51","19","43","22"
"05/08/2021","61","Ozone","Rosenstiel","12-086-0027","AQS","8","61","14","32","25"
"05/09/2021","50","Ozone","Pompano Highlands","12-011-2003","AQS","7","50","19","33","12"
"05/10/2021","30","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","13","24","16","30","17"
"05/11/2021","36","PM2.5","Belle Glade","12-099-0008","AQS","7","30","16","36","21"
"05/12/2021","32","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","9","31","17","32","19"
"05/13/2021","54","Ozone","Perdue","12-086-0029","AQS","7","54","19","35","29"
"05/14/2021","37","Ozone","Lantana Preserve","12-099-0021","AQS","7","37","15","29","24"
"05/15/2021","44","Ozone","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS","7","44","15","38","25"
"05/16/2021","46","Ozone","Lantana Preserve","12-099-0021","AQS","6","46","15","29","27"
"05/17/2021","44","Ozone","Vista View Park","12-011-0033","AQS","6","44","15","37","25"
"05/18/2021","40","Ozone","Rosenstiel","12-086-0027","AQS","6","40","19","38","19"
"05/19/2021","42","PM2.5","Pompano Highlands","12-011-2003","AQS","5","41","23","42","24"
"05/20/2021","50","Ozone","Rosenstiel","12-086-0027","AQS","5","50","26","45","25"
"05/21/2021","49","Ozone","Rosenstiel","12-086-0027","AQS","6","49","25","43","18"
"05/22/2021","48","Ozone","Pompano Highlands","12-011-2003","AQS","6","48","19","37","14"
"05/23/2021","42","Ozone","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS","6","42","16","33","12"
"05/24/2021","45","Ozone","Daniela Banu NCORE","12-011-0034","AQS","7","45","15","36","36"
"05/25/2021","48","PM2.5","Belle Glade","12-099-0008","AQS","6","45","18","48","31"
"05/26/2021","54","PM2.5","Pompano Highlands","12-011-2003","AQS","7","44","21","54","25"
"05/27/2021","52","PM2.5","Pompano Highlands","12-011-2003","AQS","8","44","26","52","27"
"05/28/2021","46","PM2.5","Pompano Highlands","12-011-2003","AQS","8","37","15","46","23"
"05/29/2021","41","PM2.5","Pompano Highlands","12-011-2003","AQS","8","38","13","41","17"
"05/30/2021","81","PM2.5","DELRAY BEACH","12-099-2005","AQS","8","37","27","81","16"
"05/31/2021","103","PM2.5","Daniela Banu NCORE","12-011-0034","AQS","8","31","42","103","19"
"06/01/2021","34","Ozone","Daniela Banu NCORE","12-011-0034","AQS","7","34","11","28","29"
"06/02/2021","29","Ozone","Lamstein Lane","12-099-0022","AQS","7","29","13","25","18"
"06/03/2021","36","PM2.5","Pompano Highlands","12-011-2003","AQS","7","22","23","36","18"
"06/04/2021","34","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","8","20","16","34","20"
"06/05/2021","33","PM2.5","Pompano Highlands","12-011-2003","AQS","7","21","18","33","14"
"06/06/2021","43","PM2.5","Pompano Highlands","12-011-2003","AQS","6","21","19","43","11"
"06/07/2021","40","PM2.5","Pompano Highlands","12-011-2003","AQS","6","28","25","40","15"
"06/08/2021","38","PM2.5","Pompano Highlands","12-011-2003","AQS","6","30","22","38","16"
"06/09/2021","30","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","30","20","30","17"
"06/10/2021","38","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","24","23","38","20"
"06/11/2021","32","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","8","27","12","32","22"
"06/12/2021","33","PM2.5","KENDALL","12-086-0034","AQS","7","30","11","33","16"
"06/13/2021","35","PM2.5","KENDALL","12-086-0034","AQS","6","27","9","35","17"
"06/14/2021","64","PM2.5","KENDALL","12-086-0034","AQS","6","22","22","64","25"
"06/15/2021","71","PM2.5","KENDALL","12-086-0034","AQS","8","21","35","71","25"
"06/16/2021","67","PM2.5","KENDALL","12-086-0034","AQS","11","19","28","67","25"
"06/17/2021","55","PM2.5","KENDALL","12-086-0034","AQS","9","30","20","55","24"
"06/18/2021","119","PM2.5","HOMESTEAD FIRE STATION","12-086-6001","AQS","8","22","56","119","16"
"06/19/2021","71","PM2.5","Lamstein Lane","12-099-0022","AQS","9","18","51","71","15"
"06/20/2021","49","PM2.5","KENDALL","12-086-0034","AQS","9","24","18","49","31"
"06/21/2021","60","PM2.5","Pompano Highlands","12-011-2003","AQS","9","23","32","60","18"
"06/22/2021","49","PM2.5","Belle Glade","12-099-0008","AQS","7","20","25","49","14"
"06/23/2021","35","PM2.5","KENDALL","12-086-0034","AQS","8","27","14","35","26"
"06/24/2021","38","PM2.5","Pompano Highlands","12-011-2003","AQS","8","24","14","38","24"
"06/25/2021","42","PM2.5","Pompano Highlands","12-011-2003","AQS","8","19","19","42","18"
"06/26/2021","36","PM2.5","KENDALL","12-086-0034","AQS","8","21","14","36","13"
"06/27/2021","52","PM2.5","SITE MOVED ACROSS ROAD FROM BEARD CENTER TO BEHIND IORI RESEARCH BLD","12-086-0030","AQS","6","25","12","52","11"
"06/28/2021","26","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","8","22","11","26","18"
"06/29/2021","32","NO2","Perimeter Road","12-086-0035","AQS","8","20","14","30","32"
"06/30/2021","35","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","19","10","35","25"
"07/01/2021","32","NO2","Near Road - Fort Lauderdale","12-011-0035","AQS","9","23","12","27","32"
"07/02/2021","30","Ozone","Pompano Highlands","12-011-2003","AQS","9","30","10","28","22"
"07/03/2021","35","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","9","29","13","35","24"
"07/04/2021","81","PM2.5","HOMESTEAD FIRE STATION","12-086-6001","AQS","10","24","30","81","19"
"07/05/2021","49","PM2.5","Lamstein Lane","12-099-0022","AQS","8","26","15","49","19"
"07/06/2021","56","PM2.5","Pompano Highlands","12-011-2003","AQS","7","19","31","56","17"
"07/07/2021","38","PM2.5","KENDALL","12-086-0034","AQS","8","24","19","38","10"
"07/08/2021","39","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","28","15","39","29"
"07/09/2021","55","PM2.5","KENDALL","12-086-0034","AQS","9","23","27","55","18"
"07/10/2021","62","PM2.5","KENDALL","12-086-0034","AQS","8","25","34","62","23"
"07/11/2021","48","PM2.5","Pompano Highlands","12-011-2003","AQS","8","24","22","48","15"
"07/12/2021","48","PM2.5","Pompano Highlands","12-011-2003","AQS","7","26","23","48","25"
"07/13/2021","53","PM2.5","Pompano Highlands","12-011-2003","AQS","7","27","27","53","19"
"07/14/2021","50","PM2.5","KENDALL","12-086-0034","AQS","7","30","23","50","31"
"07/15/2021","35","PM2.5","Pompano Highlands","12-011-2003","AQS","6","20","15","35","15"
"07/16/2021","31","PM2.5","HOMESTEAD FIRE STATION","12-086-6001","AQS","7","22","12","31","17"
"07/17/2021","32","PM2.5","KENDALL","12-086-0034","AQS","7","21","12","32","15"
"07/18/2021","32","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","22","13","32","15"
"07/19/2021","30","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","22","19","30","20"
"07/20/2021","39","PM2.5","HOMESTEAD FIRE STATION","12-086-6001","AQS","9","20","14","39","25"
"07/21/2021","50","PM2.5","Pompano Highlands","12-011-2003","AQS","11","31","23","50","20"
"07/22/2021","59","PM2.5","Pompano Highlands","12-011-2003","AQS","8","37","28","59","24"
"07/23/2021","71","PM2.5","Pompano Highlands","12-011-2003","AQS","7","33","42","71","28"
"07/24/2021","41","Ozone","Lantana Preserve","12-099-0021","AQS","10","41","11","30","27"
"07/25/2021","42","Ozone","Lantana Preserve","12-099-0021","AQS","9","42","15","41","20"
"07/26/2021","40","PM2.5","Pompano Highlands","12-011-2003","AQS","9","24","16","40","24"
"07/27/2021","52","PM2.5","KENDALL","12-086-0034","AQS","8","35","17","52","23"
"07/28/2021","53","PM2.5","Pompano Highlands","12-011-2003","AQS","9","32","15","53","29"
"07/29/2021","42","PM2.5","Pompano Highlands","12-011-2003","AQS","9","36","13","42","30"
"07/30/2021","43","PM2.5","KENDALL","12-086-0034","AQS","8","31","18","43","27"
"07/31/2021","36","PM2.5","Pompano Highlands","12-011-2003","AQS","8","31","14","36","20"
"08/01/2021","37","PM2.5","KENDALL","12-086-0034","AQS","9","28","14","37","16"
"08/02/2021","48","PM2.5","KENDALL","12-086-0034","AQS","8","26","18","48","27"
"08/03/2021","56","PM2.5","KENDALL","12-086-0034","AQS","7","26","21","56","25"
"08/04/2021","48","PM2.5","KENDALL","12-086-0034","AQS","8","26","19","48","31"
"08/05/2021","35","PM2.5","KENDALL","12-086-0034","AQS","9","32","15","35","27"
"08/06/2021","31","Ozone","Vista View Park","12-011-0033","AQS","8","31","13","29","21"
"08/07/2021","28","PM2.5","Pompano Highlands","12-011-2003","AQS","8","26","17","28","16"
"08/08/2021","27","Ozone","Pompano Highlands","12-011-2003","AQS","7","27","10","25","18"
"08/09/2021","27","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","23","9","27","22"
"08/10/2021","24","PM2.5","HOMESTEAD FIRE STATION","12-086-6001","AQS","7","23","12","24","17"
"08/11/2021","26","Ozone","Rosenstiel","12-086-0027","AQS","6","26","11","24","18"
"08/12/2021","37","PM2.5","Pompano Highlands","12-011-2003","AQS","6","21","16","37","15"
"08/13/2021","33","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","6","25","15","33","21"
"08/14/2021","40","PM2.5","Daniela Banu NCORE","12-011-0034","AQS","6","25","21","40","13"
"08/15/2021","33","PM2.5","KENDALL","12-086-0034","AQS","6","24","17","33","12"
"08/16/2021","27","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","27","13","27","18"
"08/17/2021","31","PM2.5","HOMESTEAD FIRE STATION","12-086-6001","AQS","7","21","20","31","22"
"08/18/2021","59","PM2.5","KENDALL","12-086-0034","AQS","7","19","33","59","13"
"08/19/2021","49","PM2.5","HOMESTEAD FIRE STATION","12-086-6001","AQS","7","25","19","49","16"
"08/20/2021","42","Ozone","Vista View Park","12-011-0033","AQS","7","42","10","29","22"
"08/21/2021","32","PM2.5","HOMESTEAD FIRE STATION","12-086-6001","AQS","7","28","11","32","20"
"08/22/2021","74","PM2.5","KENDALL","12-086-0034","AQS","8","21","54","74","11"
"08/23/2021","91","PM2.5","KENDALL","12-086-0034","AQS","7","28","62","91","17"
"08/24/2021","82","PM2.5","KENDALL","12-086-0034","AQS","6","25","61","82","20"
"08/25/2021","66","PM2.5","KENDALL","12-086-0034","AQS","6","32","50","66","23"
"08/26/2021","48","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","6","21","26","48","25"
"08/27/2021","28","PM2.5","HOMESTEAD FIRE STATION","12-086-6001","AQS","6","24","15","28","19"
"08/28/2021","45","PM2.5","HOMESTEAD FIRE STATION","12-086-6001","AQS","7","21","24","45","9"
"08/29/2021","37","PM2.5","HOMESTEAD FIRE STATION","12-086-6001","AQS","7","28","13","37","12"
"08/30/2021","34","PM2.5","HOMESTEAD FIRE STATION","12-086-6001","AQS","6","30","12","34","31"
"08/31/2021","42","PM2.5","Belle Glade","12-099-0008","AQS","7","38","14","42","31"
"09/01/2021","78","PM2.5","KENDALL","12-086-0034","AQS","7","36","59","78","27"
"09/02/2021","80","PM2.5","KENDALL","12-086-0034","AQS","6","23","50","80","20"
"09/03/2021","63","PM2.5","HOMESTEAD FIRE STATION","12-086-6001","AQS","3","26","29","63","24"
"09/04/2021","70","PM2.5","HOMESTEAD FIRE STATION","12-086-6001","AQS","6","31","35","70","25"
"09/05/2021","54","PM2.5","KENDALL","12-086-0034","AQS","6","33","23","54","25"
"09/06/2021","58","PM2.5","KENDALL","12-086-0034","AQS","6","38","37","58","23"
"09/07/2021","61","PM2.5","Miami Fire Station","12-086-1016","AQS","6","35","42","61","31"
"09/08/2021","51","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","6","29","29","51","27"
"09/09/2021","59","PM2.5","HOMESTEAD FIRE STATION","12-086-6001","AQS","7","20","38","59","25"
"09/10/2021","65","PM2.5","HOMESTEAD FIRE STATION","12-086-6001","AQS","8","36","42","65","22"
"09/11/2021","63","PM2.5","KENDALL","12-086-0034","AQS","8","30","41","63","27"
"09/12/2021","47","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","24","24","47","17"
"09/13/2021","31","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","19","19","31","24"
"09/14/2021","26","Ozone","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS","7","26","14","23","19"
"09/15/2021","31","Ozone","Lamstein Lane","12-099-0022","AQS","7","31","13","27","24"
"09/16/2021","30","PM2.5","KENDALL","12-086-0034","AQS","8","28","13","30","25"
"09/17/2021","41","NO2","Near Road - Fort Lauderdale","12-011-0035","AQS","8","31","13","29","41"
"09/18/2021","40","Ozone","Lantana Preserve","12-099-0021","AQS","7","40","15","27","25"
"09/19/2021","35","NO2","Perimeter Road","12-086-0035","AQS","7","34","10","30","35"
"09/20/2021","34","PM2.5","KENDALL","12-086-0034","AQS","8","22","16","34","25"
"09/21/2021","27","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","9","19","15","27","22"
"09/22/2021","25","PM2.5","KENDALL","12-086-0034","AQS","8","23","14","25","24"
"09/23/2021","41","NO2","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS","9","34","16","26","41"
"09/24/2021","32","Ozone","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS","7","32","14","23","26"
"09/25/2021","38","Ozone","Lantana Preserve","12-099-0021","AQS","7","38","13","28","31"
"09/26/2021","44","Ozone","Rosenstiel","12-086-0027","AQS","7","44","14","28","22"
"09/27/2021","46","Ozone","Vista View Park","12-011-0033","AQS","6","46","17","29","36"
"09/28/2021","48","Ozone","Vista View Park","12-011-0033","AQS","6","48","18","29","34"
"09/29/2021","44","Ozone","Rosenstiel","12-086-0027","AQS","7","44","17","31","30"
"09/30/2021","38","Ozone","Rosenstiel","12-086-0027","AQS","7","38","17","30","28"
"10/01/2021","33","Ozone","Lantana Preserve","12-099-0021","AQS","7","33","19","30","31"
"10/02/2021","44","Ozone","Rosenstiel","12-086-0027","AQS","6","44","18","28","19"
"10/03/2021","43","Ozone","Rosenstiel","12-086-0027","AQS","7","43","14","23","21"
