"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2021","51","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","34","24","51","9"
"01/02/2021","53","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","10","35","22","53","24"
"01/03/2021","45","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","11","33","17","45","21"
"01/04/2021","48","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","6","37","21","48","28"
"01/05/2021","52","PM2.5","HOMESTEAD FIRE STATION","12-086-6001","AQS","8","44","15","52","48"
"01/06/2021","53","PM2.5","HOMESTEAD FIRE STATION","12-086-6001","AQS","11","48","15","53","41"
"01/07/2021","50","NO2","Perimeter Road","12-086-0035","AQS","14","47","14","47","50"
"01/08/2021","40","PM2.5","Lamstein Lane","12-099-0022","AQS","8","39","16","40","24"
"01/09/2021","58","PM2.5","Pompano Highlands","12-011-2003","AQS","7","37","19","58","27"
"01/10/2021","45","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","40","13","45","27"
"01/11/2021","43","PM2.5","Belle Glade","12-099-0008","AQS","11","39","19","43","34"
"01/12/2021","52","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","14","24","16","52","42"
"01/13/2021","65","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","31","19","65","29"
"01/14/2021","64","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","31","12","64","30"
"01/15/2021","52","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","43","15","52","32"
"01/16/2021","41","PM2.5","Lamstein Lane","12-099-0022","AQS","6","40","19","41","34"
"01/17/2021","41","Ozone","Lamstein Lane","12-099-0022","AQS","7","41","20","39","30"
"01/18/2021","53","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","9","41","19","53","39"
