time,windspeed_10m_max (mp/h),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm)
2021-06-15,12.3,17.29,3.75
2021-06-16,6.1,14.28,3.06
2021-06-17,10.1,13.76,3.16
2021-06-18,11.8,23.26,4.95
2021-06-19,10.5,23.60,5.19
2021-06-20,10.4,15.64,3.40
2021-06-21,11.5,17.87,3.89
2021-06-22,14.4,23.22,5.04
2021-06-23,10.0,20.44,4.26
2021-06-24,10.8,17.85,3.73
2021-06-25,13.7,20.76,4.29
2021-06-26,11.2,20.19,4.25
2021-06-27,12.4,22.91,4.86
2021-06-28,13.1,19.11,3.96
2021-06-29,11.0,16.51,3.45
2021-06-30,10.5,14.55,3.02
2021-07-01,8.7,16.11,3.25
2021-07-02,6.3,21.75,4.41
2021-07-03,9.0,24.62,5.13
2021-07-04,9.7,24.19,4.82
2021-07-05,15.6,15.41,3.41
2021-07-06,18.1,8.65,2.44
2021-07-07,14.2,21.61,4.90
2021-07-08,10.1,22.33,4.50
2021-07-09,9.1,23.10,4.90
2021-07-10,10.4,21.20,4.55
2021-07-11,14.3,23.54,5.07
2021-07-12,13.8,19.58,4.39
2021-07-13,13.6,17.76,3.68
2021-07-14,12.6,21.63,4.35
2021-07-15,14.3,23.53,4.86
2021-07-16,13.5,23.07,4.76
2021-07-17,9.5,21.74,4.50
2021-07-18,9.1,22.66,4.79
2021-07-19,9.8,24.62,5.29
2021-07-20,11.0,22.57,4.49
2021-07-21,7.9,23.97,4.80
2021-07-22,8.6,25.09,5.21
2021-07-23,9.2,19.82,4.14
2021-07-24,7.7,15.83,3.27
2021-07-25,8.3,20.14,4.11
2021-07-26,9.7,21.20,4.40
2021-07-27,8.6,23.36,4.86
2021-07-28,4.6,23.39,4.81
2021-07-29,6.8,22.92,4.70
2021-07-30,9.1,23.04,4.73
2021-07-31,8.3,23.50,5.11
2021-08-01,9.4,21.36,4.56
2021-08-02,9.3,16.16,3.45
2021-08-03,12.1,11.11,2.62
2021-08-04,11.0,11.73,2.89
2021-08-05,7.5,22.31,4.75
2021-08-06,10.8,22.86,4.66
2021-08-07,7.0,22.79,4.65
2021-08-08,8.0,21.32,4.35
2021-08-09,11.9,22.26,4.72
2021-08-10,11.8,22.15,4.80
2021-08-11,11.2,21.83,5.01
2021-08-12,16.4,23.42,5.13
2021-08-13,17.2,18.44,3.95
2021-08-14,17.0,13.12,2.88
2021-08-15,12.5,12.20,3.45
2021-08-16,10.7,22.72,4.83
2021-08-17,12.0,19.58,4.03
2021-08-18,13.6,23.97,5.25
2021-08-19,8.1,24.76,5.17
2021-08-20,7.7,25.20,5.27
2021-08-21,9.2,24.37,5.11
2021-08-22,9.9,22.48,4.59
2021-08-23,9.9,20.60,4.42
2021-08-24,13.2,20.97,4.83
2021-08-25,20.9,23.36,5.73
2021-08-26,13.5,22.00,4.80
2021-08-27,13.6,16.97,4.13
2021-08-28,16.3,19.12,4.69
2021-08-29,8.9,20.51,4.23
2021-08-30,7.3,22.69,4.55
2021-08-31,5.1,21.79,4.44
2021-09-01,5.4,21.97,4.48
2021-09-02,7.4,16.95,3.48
2021-09-03,7.2,14.86,3.17
2021-09-04,7.6,18.27,3.72
2021-09-05,6.7,20.59,4.14
2021-09-06,8.8,22.59,4.59
2021-09-07,6.6,18.71,3.88
2021-09-08,9.1,19.47,3.99
2021-09-09,8.1,22.11,4.48
2021-09-10,7.7,21.91,4.53
2021-09-11,11.2,20.77,4.35
2021-09-12,12.3,17.68,3.90
2021-09-13,10.6,16.66,3.42
2021-09-14,9.0,18.23,3.64
2021-09-15,7.8,20.04,3.96
2021-09-16,10.1,19.00,3.67
2021-09-17,7.6,16.52,3.37
2021-09-18,6.2,17.34,3.52
2021-09-19,6.9,14.73,2.98
2021-09-20,8.2,13.46,2.70
2021-09-21,9.2,12.25,2.76
2021-09-22,7.2,14.23,2.96
2021-09-23,9.7,17.74,3.54
2021-09-24,5.8,15.56,3.14
2021-09-25,8.5,16.28,3.27
2021-09-26,13.7,18.55,4.09
2021-09-27,10.6,22.85,5.45
2021-09-28,10.7,18.78,4.56
2021-09-29,9.3,21.14,4.66
2021-09-30,10.9,19.33,4.42
2021-10-01,11.7,17.50,4.06
2021-10-02,16.3,19.34,4.95
2021-10-03,14.7,17.89,4.44
2021-10-04,8.8,20.06,4.57
2021-10-05,8.7,18.26,3.98
2021-10-06,10.2,18.82,4.17
2021-10-07,11.2,17.77,4.11
2021-10-08,8.2,15.66,3.48
2021-10-09,9.1,12.28,2.46
2021-10-10,12.3,16.37,3.16
2021-10-11,8.6,17.96,3.48
2021-10-12,9.3,16.71,3.36
2021-10-13,8.9,18.63,3.92
2021-10-14,9.7,17.83,3.78
2021-10-15,9.6,17.02,3.59
2021-10-16,5.4,17.06,3.55
2021-10-17,8.1,18.27,3.79
2021-10-18,14.1,20.17,4.83
2021-10-19,14.2,15.89,5.10
2021-10-20,15.6,14.20,4.97
2021-10-21,13.3,15.24,4.49
2021-10-22,10.0,9.30,2.11
2021-10-23,10.6,13.40,2.72
2021-10-24,7.8,9.84,2.08
2021-10-25,12.5,9.12,1.95
2021-10-26,11.3,16.03,3.27
2021-10-27,9.6,16.17,3.40
2021-10-28,15.6,11.97,2.48
2021-10-29,18.7,16.53,4.01
2021-10-30,17.2,14.87,3.96
2021-10-31,7.2,14.96,3.11
2021-11-01,12.2,13.78,2.81
2021-11-02,11.9,12.65,2.95
2021-11-03,9.6,13.53,3.61
2021-11-04,8.3,13.74,3.22
2021-11-05,11.4,4.45,1.35
2021-11-06,15.4,14.71,2.87
2021-11-07,16.1,18.37,3.48
2021-11-08,13.3,16.92,3.75
2021-11-09,12.3,12.57,3.60
2021-11-10,11.0,15.16,3.29
2021-11-11,10.9,9.59,2.47
2021-11-12,8.1,7.68,1.72
2021-11-13,7.8,14.73,2.89
2021-11-14,11.3,14.70,3.06
2021-11-15,13.5,13.82,3.45
