time,windspeed_10m_max (mp/h),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm)
2022-12-21,15.0,11.51,2.22
2022-12-22,7.0,13.86,2.72
2022-12-23,16.3,9.65,2.20
2022-12-24,17.6,10.28,3.03
2022-12-25,16.9,5.93,2.40
2022-12-26,14.2,3.72,1.32
2022-12-27,13.6,7.35,1.55
2022-12-28,14.5,12.03,3.20
2022-12-29,15.3,11.21,3.16
2022-12-30,13.0,13.88,2.79
2022-12-31,10.4,14.33,2.68
2023-01-01,8.0,13.05,2.53
2023-01-02,11.7,13.95,2.94
2023-01-03,12.5,12.64,2.79
2023-01-04,13.7,13.02,2.96
2023-01-05,9.9,14.98,3.09
2023-01-06,13.2,15.02,3.66
2023-01-07,11.4,15.96,3.70
2023-01-08,10.2,14.64,3.34
2023-01-09,9.3,15.74,3.13
2023-01-10,10.0,15.57,3.30
2023-01-11,10.7,16.89,3.83
2023-01-12,11.2,14.74,3.33
2023-01-13,18.0,11.31,3.25
2023-01-14,21.4,16.77,4.04
2023-01-15,14.8,17.51,3.28
2023-01-16,7.8,16.78,3.22
2023-01-17,9.8,16.01,3.02
2023-01-18,11.2,15.13,3.19
2023-01-19,10.8,15.18,3.96
2023-01-20,7.1,15.46,3.14
2023-01-21,7.6,13.84,2.85
2023-01-22,17.3,14.40,3.62
2023-01-23,12.5,13.42,3.08
2023-01-24,14.9,12.03,3.28
2023-01-25,16.6,15.02,3.92
2023-01-26,12.9,12.95,2.86
2023-01-27,16.7,6.01,2.28
2023-01-28,17.9,11.63,3.30
2023-01-29,16.4,13.52,3.66
2023-01-30,10.9,14.72,3.15
2023-01-31,9.7,14.74,3.44
2023-02-01,8.9,15.20,3.40
2023-02-02,10.2,15.16,3.21
2023-02-03,15.8,16.00,3.56
2023-02-04,23.5,11.28,2.97
2023-02-05,19.7,13.47,2.76
2023-02-06,15.3,13.98,3.18
2023-02-07,14.9,17.99,4.24
2023-02-08,13.4,17.37,4.71
2023-02-09,15.5,15.71,3.96
2023-02-10,13.5,18.41,4.01
2023-02-11,15.1,16.51,3.71
2023-02-12,20.8,15.17,4.03
2023-02-13,16.1,20.26,4.73
2023-02-14,10.9,18.33,4.03
2023-02-15,14.7,14.35,4.40
2023-02-16,16.7,14.08,4.63
2023-02-17,13.4,12.55,2.91
2023-02-18,16.9,13.71,2.82
2023-02-19,11.4,15.42,3.42
2023-02-20,9.4,15.80,3.33
2023-02-21,10.0,16.28,3.56
2023-02-22,12.0,19.27,4.43
2023-02-23,12.4,19.37,4.72
2023-02-24,9.4,19.79,4.44
2023-02-25,8.4,20.01,4.38
2023-02-26,9.9,20.81,4.46
2023-02-27,11.9,20.30,4.62
2023-02-28,10.1,21.85,5.21
2023-03-01,10.8,22.32,4.85
2023-03-02,13.1,18.98,4.68
2023-03-03,20.1,20.65,5.01
2023-03-04,14.3,18.39,4.28
2023-03-05,7.5,21.19,4.37
2023-03-06,10.6,18.67,4.26
2023-03-07,10.0,17.07,3.91
2023-03-08,13.9,18.48,4.28
2023-03-09,14.1,19.03,4.72
2023-03-10,14.3,20.35,5.29
2023-03-11,11.3,19.65,5.18
2023-03-12,11.5,21.17,4.70
2023-03-13,14.8,18.75,4.70
2023-03-14,12.9,16.50,3.49
2023-03-15,15.8,11.47,3.43
2023-03-16,15.4,21.87,5.09
2023-03-17,14.9,15.28,4.76
2023-03-18,12.8,19.68,4.90
2023-03-19,15.6,14.81,3.09
2023-03-20,19.0,11.54,2.87
2023-03-21,14.7,19.67,4.27
2023-03-22,14.2,23.27,5.36
2023-03-23,13.1,22.83,5.27
2023-03-24,11.6,19.18,4.66
2023-03-25,12.8,18.59,4.32
2023-03-26,11.9,22.85,4.94
2023-03-27,12.5,21.61,4.77
2023-03-28,10.7,19.91,4.27
2023-03-29,8.8,20.38,4.26
2023-03-30,16.7,18.64,3.58
2023-03-31,17.3,21.15,5.43
2023-04-01,12.2,19.76,4.73
2023-04-02,10.3,22.11,4.64
2023-04-03,9.8,23.54,4.85
2023-04-04,11.5,20.75,4.62
2023-04-05,14.0,22.67,5.39
2023-04-06,15.5,21.60,5.39
2023-04-07,13.0,24.21,5.65
2023-04-08,10.3,22.65,5.28
2023-04-09,11.9,18.15,3.92
2023-04-10,19.4,17.36,3.31
2023-04-11,24.5,11.22,2.48
2023-04-12,20.8,16.86,3.33
2023-04-13,11.2,21.69,4.25
2023-04-14,8.6,22.36,4.38
2023-04-15,9.1,23.12,4.50
2023-04-16,12.5,23.77,4.40
2023-04-17,13.9,21.78,4.28
2023-04-18,14.2,26.68,5.60
2023-04-19,11.5,20.10,4.95
2023-04-20,12.0,22.08,4.71
2023-04-21,7.9,22.63,4.30
2023-04-22,9.2,19.50,4.20
2023-04-23,8.5,23.40,4.50
2023-04-24,9.8,20.03,4.10
2023-04-25,11.4,20.40,4.22
2023-04-26,13.0,24.37,4.66
2023-04-27,13.2,24.16,4.85
2023-04-28,12.3,23.08,4.68
2023-04-29,14.6,23.71,4.69
2023-04-30,24.1,18.23,4.75
2023-05-01,12.3,28.23,6.12
2023-05-02,11.6,27.95,6.06
2023-05-03,11.0,27.48,5.94
2023-05-04,10.4,28.71,6.48
2023-05-05,14.9,26.91,5.80
2023-05-06,13.8,25.49,5.62
2023-05-07,17.2,22.99,4.77
2023-05-08,12.3,27.04,6.09
2023-05-09,11.8,25.64,5.57
2023-05-10,10.2,25.21,5.37
2023-05-11,13.6,26.76,5.93
2023-05-12,14.8,24.96,5.96
2023-05-13,13.7,25.04,5.90
2023-05-14,13.0,22.23,5.09
2023-05-15,10.6,22.13,4.37
2023-05-16,8.8,24.52,5.18
2023-05-17,11.5,24.03,5.12
2023-05-18,10.0,25.68,5.20
2023-05-19,11.0,20.18,3.94
2023-05-20,10.1,25.00,5.06
2023-05-21,9.3,23.93,4.84
2023-05-22,9.0,23.61,4.89
2023-05-23,8.4,18.69,3.91
2023-05-24,8.2,18.89,3.62
2023-05-25,11.4,20.29,3.90
2023-05-26,8.6,21.32,4.10
2023-05-27,8.5,23.11,4.59
2023-05-28,8.1,24.96,5.28
2023-05-29,9.2,24.15,5.17
2023-05-30,7.7,23.15,4.71
2023-05-31,8.3,19.85,3.90
2023-06-01,7.2,21.49,4.27
2023-06-02,7.6,19.00,3.69
2023-06-03,5.2,21.91,4.32
2023-06-04,8.3,18.26,3.55
2023-06-05,9.8,23.66,4.70
2023-06-06,8.2,20.52,4.23
2023-06-07,11.6,22.75,4.57
2023-06-08,12.5,22.53,4.55
2023-06-09,12.8,21.88,4.51
2023-06-10,10.1,24.44,4.98
2023-06-11,11.7,24.21,4.81
2023-06-12,13.5,20.29,4.04
2023-06-13,12.3,23.40,4.69
2023-06-14,13.3,24.85,5.15
2023-06-15,11.0,26.08,5.42
2023-06-16,12.1,21.72,5.00
2023-06-17,11.3,23.14,4.87
2023-06-18,13.7,20.34,4.22
2023-06-19,8.9,16.77,3.58
2023-06-20,12.3,25.42,5.25
2023-06-21,11.9,24.24,4.95
2023-06-22,10.9,20.13,4.28
2023-06-23,14.1,21.54,4.46
2023-06-24,11.5,17.96,3.71
2023-06-25,5.6,16.27,3.38
2023-06-26,7.0,20.70,4.11
2023-06-27,8.4,23.79,4.89
2023-06-28,8.8,23.93,5.08
2023-06-29,7.3,22.47,4.57
2023-06-30,6.2,20.33,4.22
2023-07-01,7.3,20.40,4.15
2023-07-02,6.4,22.42,4.56
2023-07-03,8.7,23.57,4.87
2023-07-04,8.2,21.63,4.51
2023-07-05,7.8,22.99,4.76
2023-07-06,7.1,23.86,5.05
2023-07-07,9.3,20.63,4.32
2023-07-08,9.6,22.40,4.82
2023-07-09,10.5,25.77,5.56
2023-07-10,8.4,23.88,5.28
2023-07-11,9.7,25.47,5.65
2023-07-12,8.7,23.46,5.20
2023-07-13,7.1,22.45,4.90
2023-07-14,7.8,25.06,5.14
2023-07-15,7.2,23.27,4.83
2023-07-16,8.4,21.77,4.85
2023-07-17,8.9,16.56,3.62
2023-07-18,10.3,19.48,4.15
2023-07-19,8.4,15.45,3.34
2023-07-20,10.9,22.08,4.78
2023-07-21,9.1,21.18,4.56
2023-07-22,6.9,24.89,5.31
2023-07-23,6.4,26.38,5.82
2023-07-24,7.3,26.92,5.80
2023-07-25,9.0,24.23,5.24
2023-07-26,12.5,18.40,3.93
2023-07-27,10.4,16.93,3.70
2023-07-28,11.1,11.71,2.73
2023-07-29,7.7,25.54,5.60
2023-07-30,8.1,23.23,4.77
2023-07-31,9.2,25.05,5.31
2023-08-01,5.4,19.17,4.00
2023-08-02,7.0,20.39,4.22
2023-08-03,7.7,23.65,4.92
2023-08-04,9.8,19.48,3.94
2023-08-05,8.1,20.49,4.32
2023-08-06,7.6,24.66,5.37
2023-08-07,7.7,23.59,4.97
2023-08-08,10.9,21.41,4.67
2023-08-09,8.1,19.09,4.03
2023-08-10,9.9,21.09,4.50
2023-08-11,6.6,21.75,4.61
2023-08-12,12.8,22.54,4.77
2023-08-13,12.5,21.43,5.12
2023-08-14,7.5,25.10,5.51
2023-08-15,9.9,18.73,3.92
2023-08-16,11.9,20.39,4.25
2023-08-17,12.1,13.17,3.07
2023-08-18,6.5,20.27,4.33
2023-08-19,11.4,18.26,3.74
2023-08-20,16.1,17.79,4.04
2023-08-21,16.3,21.38,4.86
2023-08-22,15.9,23.82,5.74
2023-08-23,10.3,22.90,5.14
2023-08-24,11.0,23.17,5.20
2023-08-25,12.0,23.14,5.25
2023-08-26,9.5,22.89,5.06
2023-08-27,8.5,20.88,4.47
2023-08-28,10.1,18.54,3.99
2023-08-29,20.0,16.81,3.43
2023-08-30,22.8,20.56,4.64
2023-08-31,11.5,21.18,4.50
2023-09-01,6.2,22.06,4.52
2023-09-02,12.5,19.37,4.45
2023-09-03,13.9,21.00,5.85
2023-09-04,11.7,21.54,5.74
2023-09-05,9.2,21.12,5.26
2023-09-06,7.9,22.29,5.03
2023-09-07,8.1,23.34,5.17
2023-09-08,9.8,23.22,4.86
2023-09-09,7.6,20.24,3.96
2023-09-10,7.4,21.03,4.44
2023-09-11,7.2,21.50,4.54
2023-09-12,8.7,20.34,4.53
2023-09-13,8.5,21.68,4.83
2023-09-14,6.7,20.60,4.33
2023-09-15,7.4,19.32,4.03
2023-09-16,9.0,17.76,3.78
2023-09-17,8.8,19.32,4.26
2023-09-18,5.9,NaN,NaN
2023-09-19,NaN,NaN,NaN
2023-09-20,NaN,NaN,NaN
2023-09-21,NaN,NaN,NaN
2023-09-22,NaN,NaN,NaN
2023-09-23,NaN,NaN,NaN
2023-09-24,NaN,NaN,NaN
