,temperature_2m,relativehumidity_2m,dewpoint_2m,precipitation,windspeed_10m,shortwave_radiation,time_local,year,month,day
184,,,,,,,16,2015,01,08
185,,,,,,,17,2015,01,08
186,,,,,,,18,2015,01,08
187,,,,,,,19,2015,01,08
188,,,,,,,20,2015,01,08
189,,,,,,,21,2015,01,08
190,,,,,,,22,2015,01,08
191,,,,,,,23,2015,01,08
192,,,,,,,00,2015,01,09
193,,,,,,,01,2015,01,09
194,,,,,,,02,2015,01,09
195,,,,,,,03,2015,01,09
196,,,,,,,04,2015,01,09
197,,,,,,,05,2015,01,09
198,,,,,,,06,2015,01,09
199,,,,,,,07,2015,01,09
200,,,,,,,08,2015,01,09
201,,,,,,,09,2015,01,09
202,,,,,,,10,2015,01,09
203,,,,,,,11,2015,01,09
204,,,,,,,12,2015,01,09
205,,,,,,,13,2015,01,09
206,,,,,,,14,2015,01,09
207,,,,,,,15,2015,01,09
208,,,,,,,16,2015,01,09
209,,,,,,,17,2015,01,09
210,,,,,,,18,2015,01,09
211,,,,,,,19,2015,01,09
212,,,,,,,20,2015,01,09
213,,,,,,,21,2015,01,09
214,,,,,,,22,2015,01,09
215,,,,,,,23,2015,01,09
216,,,,,,,00,2015,01,10
217,,,,,,,01,2015,01,10
218,,,,,,,02,2015,01,10
219,,,,,,,03,2015,01,10
220,,,,,,,04,2015,01,10
221,,,,,,,05,2015,01,10
222,,,,,,,06,2015,01,10
223,,,,,,,07,2015,01,10
224,,,,,,,08,2015,01,10
225,,,,,,,09,2015,01,10
226,,,,,,,10,2015,01,10
227,,,,,,,11,2015,01,10
228,,,,,,,12,2015,01,10
229,,,,,,,13,2015,01,10
230,,,,,,,14,2015,01,10
231,,,,,,,15,2015,01,10
232,,,,,,,16,2015,01,10
233,,,,,,,17,2015,01,10
234,,,,,,,18,2015,01,10
235,,,,,,,19,2015,01,10
236,,,,,,,20,2015,01,10
237,,,,,,,21,2015,01,10
238,,,,,,,22,2015,01,10
239,,,,,,,23,2015,01,10
240,,,,,,,00,2015,01,11
241,,,,,,,01,2015,01,11
242,,,,,,,02,2015,01,11
243,,,,,,,03,2015,01,11
244,,,,,,,04,2015,01,11
245,,,,,,,05,2015,01,11
246,,,,,,,06,2015,01,11
247,,,,,,,07,2015,01,11
248,,,,,,,08,2015,01,11
249,,,,,,,09,2015,01,11
250,,,,,,,10,2015,01,11
251,,,,,,,11,2015,01,11
252,,,,,,,12,2015,01,11
253,,,,,,,13,2015,01,11
254,,,,,,,14,2015,01,11
255,,,,,,,15,2015,01,11
256,,,,,,,16,2015,01,11
257,,,,,,,17,2015,01,11
258,,,,,,,18,2015,01,11
259,,,,,,,19,2015,01,11
260,,,,,,,20,2015,01,11
261,,,,,,,21,2015,01,11
262,,,,,,,22,2015,01,11
263,,,,,,,23,2015,01,11
264,,,,,,,00,2015,01,12
265,,,,,,,01,2015,01,12
266,,,,,,,02,2015,01,12
267,,,,,,,03,2015,01,12
268,,,,,,,04,2015,01,12
269,,,,,,,05,2015,01,12
270,,,,,,,06,2015,01,12
271,,,,,,,07,2015,01,12
272,,,,,,,08,2015,01,12
273,,,,,,,09,2015,01,12
274,,,,,,,10,2015,01,12
275,,,,,,,11,2015,01,12
276,,,,,,,12,2015,01,12
277,,,,,,,13,2015,01,12
278,,,,,,,14,2015,01,12
279,,,,,,,15,2015,01,12
280,,,,,,,16,2015,01,12
281,,,,,,,17,2015,01,12
282,,,,,,,18,2015,01,12
283,,,,,,,19,2015,01,12
284,,,,,,,20,2015,01,12
285,,,,,,,21,2015,01,12
286,,,,,,,22,2015,01,12
287,,,,,,,23,2015,01,12
288,,,,,,,00,2015,01,13
289,,,,,,,01,2015,01,13
290,,,,,,,02,2015,01,13
291,,,,,,,03,2015,01,13
292,,,,,,,04,2015,01,13
293,,,,,,,05,2015,01,13
294,,,,,,,06,2015,01,13
295,,,,,,,07,2015,01,13
296,,,,,,,08,2015,01,13
297,,,,,,,09,2015,01,13
298,,,,,,,10,2015,01,13
299,,,,,,,11,2015,01,13
300,,,,,,,12,2015,01,13
301,,,,,,,13,2015,01,13
302,,,,,,,14,2015,01,13
303,,,,,,,15,2015,01,13
304,,,,,,,16,2015,01,13
305,,,,,,,17,2015,01,13
306,,,,,,,18,2015,01,13
307,,,,,,,19,2015,01,13
308,,,,,,,20,2015,01,13
309,,,,,,,21,2015,01,13
310,,,,,,,22,2015,01,13
311,,,,,,,23,2015,01,13
312,,,,,,,00,2015,01,14
313,,,,,,,01,2015,01,14
314,,,,,,,02,2015,01,14
315,,,,,,,03,2015,01,14
316,,,,,,,04,2015,01,14
317,,,,,,,05,2015,01,14
318,,,,,,,06,2015,01,14
319,,,,,,,07,2015,01,14
320,,,,,,,08,2015,01,14
321,,,,,,,09,2015,01,14
322,,,,,,,10,2015,01,14
323,,,,,,,11,2015,01,14
324,,,,,,,12,2015,01,14
325,,,,,,,13,2015,01,14
326,,,,,,,14,2015,01,14
327,,,,,,,15,2015,01,14
328,,,,,,,16,2015,01,14
329,,,,,,,17,2015,01,14
330,,,,,,,18,2015,01,14
331,,,,,,,19,2015,01,14
332,,,,,,,20,2015,01,14
333,,,,,,,21,2015,01,14
334,,,,,,,22,2015,01,14
335,,,,,,,23,2015,01,14
336,,,,,,,00,2015,01,15
337,,,,,,,01,2015,01,15
338,,,,,,,02,2015,01,15
339,,,,,,,03,2015,01,15
340,,,,,,,04,2015,01,15
341,,,,,,,05,2015,01,15
342,,,,,,,06,2015,01,15
343,,,,,,,07,2015,01,15
344,,,,,,,08,2015,01,15
345,,,,,,,09,2015,01,15
346,,,,,,,10,2015,01,15
347,,,,,,,11,2015,01,15
348,,,,,,,12,2015,01,15
349,,,,,,,13,2015,01,15
350,,,,,,,14,2015,01,15
351,,,,,,,15,2015,01,15
352,,,,,,,16,2015,01,15
353,,,,,,,17,2015,01,15
354,,,,,,,18,2015,01,15
355,,,,,,,19,2015,01,15
356,,,,,,,20,2015,01,15
357,,,,,,,21,2015,01,15
358,,,,,,,22,2015,01,15
359,,,,,,,23,2015,01,15
360,,,,,,,00,2015,01,16
361,,,,,,,01,2015,01,16
362,,,,,,,02,2015,01,16
363,,,,,,,03,2015,01,16
364,,,,,,,04,2015,01,16
365,,,,,,,05,2015,01,16
366,,,,,,,06,2015,01,16
367,,,,,,,07,2015,01,16
368,,,,,,,08,2015,01,16
369,,,,,,,09,2015,01,16
370,,,,,,,10,2015,01,16
371,,,,,,,11,2015,01,16
372,,,,,,,12,2015,01,16
373,,,,,,,13,2015,01,16
374,,,,,,,14,2015,01,16
375,,,,,,,15,2015,01,16
376,,,,,,,16,2015,01,16
377,,,,,,,17,2015,01,16
378,,,,,,,18,2015,01,16
379,,,,,,,19,2015,01,16
380,,,,,,,20,2015,01,16
381,,,,,,,21,2015,01,16
382,,,,,,,22,2015,01,16
383,,,,,,,23,2015,01,16
384,,,,,,,00,2015,01,17
385,,,,,,,01,2015,01,17
386,,,,,,,02,2015,01,17
387,,,,,,,03,2015,01,17
388,,,,,,,04,2015,01,17
389,,,,,,,05,2015,01,17
390,,,,,,,06,2015,01,17
391,,,,,,,07,2015,01,17
392,,,,,,,08,2015,01,17
393,,,,,,,09,2015,01,17
394,,,,,,,10,2015,01,17
395,,,,,,,11,2015,01,17
396,,,,,,,12,2015,01,17
397,,,,,,,13,2015,01,17
398,,,,,,,14,2015,01,17
399,,,,,,,15,2015,01,17
400,,,,,,,16,2015,01,17
401,,,,,,,17,2015,01,17
402,,,,,,,18,2015,01,17
403,,,,,,,19,2015,01,17
404,,,,,,,20,2015,01,17
405,,,,,,,21,2015,01,17
406,,,,,,,22,2015,01,17
407,,,,,,,23,2015,01,17
408,,,,,,,00,2015,01,18
409,,,,,,,01,2015,01,18
410,,,,,,,02,2015,01,18
411,,,,,,,03,2015,01,18
412,,,,,,,04,2015,01,18
413,,,,,,,05,2015,01,18
414,,,,,,,06,2015,01,18
415,,,,,,,07,2015,01,18
416,,,,,,,08,2015,01,18
417,,,,,,,09,2015,01,18
418,,,,,,,10,2015,01,18
419,,,,,,,11,2015,01,18
420,,,,,,,12,2015,01,18
421,,,,,,,13,2015,01,18
422,,,,,,,14,2015,01,18
423,,,,,,,15,2015,01,18
424,,,,,,,16,2015,01,18
425,,,,,,,17,2015,01,18
426,,,,,,,18,2015,01,18
427,,,,,,,19,2015,01,18
428,,,,,,,20,2015,01,18
429,,,,,,,21,2015,01,18
430,,,,,,,22,2015,01,18
431,,,,,,,23,2015,01,18
432,,,,,,,00,2015,01,19
433,,,,,,,01,2015,01,19
434,,,,,,,02,2015,01,19
435,,,,,,,03,2015,01,19
436,,,,,,,04,2015,01,19
437,,,,,,,05,2015,01,19
438,,,,,,,06,2015,01,19
439,,,,,,,07,2015,01,19
440,,,,,,,08,2015,01,19
441,,,,,,,09,2015,01,19
442,,,,,,,10,2015,01,19
443,,,,,,,11,2015,01,19
444,,,,,,,12,2015,01,19
