day,month,year,daily_high_temperature
2.0,10.0,2016.0,83.1
2.0,10.0,2017.0,82.3
2.0,10.0,2018.0,84.1
2.0,10.0,2019.0,83.8
2.0,10.0,2020.0,79.3
2.0,10.0,2021.0,83.2
2.0,10.0,2022.0,81.4
2.0,11.0,2015.0,84.8
2.0,11.0,2016.0,81.9
2.0,11.0,2017.0,79.0
2.0,11.0,2018.0,85.4
2.0,11.0,2019.0,85.1
2.0,11.0,2020.0,79.2
2.0,11.0,2021.0,78.0
2.0,11.0,2022.0,83.9
2.0,12.0,2015.0,82.3
2.0,12.0,2016.0,78.3
2.0,12.0,2017.0,78.2
2.0,12.0,2018.0,83.4
2.0,12.0,2019.0,82.9
2.0,12.0,2020.0,71.4
2.0,12.0,2021.0,77.7
2.0,12.0,2022.0,78.6
3.0,1.0,2015.0,80.7
3.0,1.0,2016.0,77.8
3.0,1.0,2017.0,81.3
3.0,1.0,2018.0,70.0
3.0,1.0,2019.0,81.0
3.0,1.0,2020.0,81.4
3.0,1.0,2021.0,81.0
3.0,1.0,2022.0,77.7
3.0,1.0,2023.0,79.4
3.0,2.0,2015.0,75.9
3.0,2.0,2016.0,78.2
3.0,2.0,2017.0,77.8
3.0,2.0,2018.0,72.0
3.0,2.0,2019.0,79.3
3.0,2.0,2020.0,69.9
3.0,2.0,2021.0,68.6
3.0,2.0,2022.0,76.6
3.0,2.0,2023.0,84.5
3.0,3.0,2015.0,79.4
3.0,3.0,2016.0,80.2
3.0,3.0,2017.0,76.9
3.0,3.0,2018.0,78.7
3.0,3.0,2019.0,81.8
3.0,3.0,2020.0,79.6
3.0,3.0,2021.0,83.7
3.0,3.0,2022.0,78.2
3.0,3.0,2023.0,84.1
3.0,4.0,2015.0,81.6
3.0,4.0,2016.0,76.5
3.0,4.0,2017.0,83.0
3.0,4.0,2018.0,80.9
3.0,4.0,2019.0,78.5
3.0,4.0,2020.0,81.3
3.0,4.0,2021.0,71.1
3.0,4.0,2022.0,83.1
3.0,4.0,2023.0,84.2
3.0,5.0,2015.0,77.9
3.0,5.0,2016.0,88.1
3.0,5.0,2017.0,82.0
3.0,5.0,2018.0,80.1
3.0,5.0,2019.0,85.0
3.0,5.0,2020.0,82.6
3.0,5.0,2021.0,86.2
3.0,5.0,2022.0,83.1
3.0,5.0,2023.0,86.0
3.0,6.0,2015.0,81.1
3.0,6.0,2016.0,85.8
3.0,6.0,2017.0,82.9
3.0,6.0,2018.0,85.5
3.0,6.0,2019.0,90.2
3.0,6.0,2020.0,83.0
3.0,6.0,2021.0,82.4
3.0,6.0,2022.0,77.4
3.0,6.0,2023.0,84.3
3.0,7.0,2015.0,89.3
3.0,7.0,2016.0,85.5
3.0,7.0,2017.0,87.0
3.0,7.0,2018.0,85.6
3.0,7.0,2019.0,86.8
3.0,7.0,2020.0,88.4
3.0,7.0,2021.0,89.5
3.0,7.0,2022.0,87.3
3.0,7.0,2023.0,89.1
3.0,8.0,2015.0,88.4
3.0,8.0,2016.0,84.0
3.0,8.0,2017.0,88.9
